year,pbci_total_volume_index,pbci_residential_volume_index,pbci_civil_engineering_volume_index,pbci_total_yoy_pct,pbci_residential_yoy_pct,pbci_civil_engineering_yoy_pct,new_dwelling_completions,new_dwelling_single,new_dwelling_scheme,new_dwelling_apartments,new_dwelling_completions_yoy_pct,source_note
2015,99.98,99.98,99.98,7.82,28.82,-4.21,7219,3252,3294,673,30.83,CSO BEA04 + NDA02
2016,109.88,123.85,103.12,9.9,23.87,3.14,9726,3590,5030,1106,34.73,CSO BEA04 + NDA02
2017,124.16,144.09,106.83,13,16.34,3.6,14223,4215,7856,2152,46.24,CSO BEA04 + NDA02
2018,136.96,142.23,118.85,10.31,-1.29,11.25,17782,4638,10944,2200,25.02,CSO BEA04 + NDA02
2019,144.76,160.93,112.94,5.69,13.15,-4.97,21023,5078,12527,3418,18.23,CSO BEA04 + NDA02
2020,131.48,124.67,96.04,-9.17,-22.53,-14.96,20487,4952,11669,3866,-2.55,CSO BEA04 + NDA02
2021,127.49,111.37,108.88,-3.04,-10.67,13.37,20451,4709,10671,5071,-0.18,CSO BEA04 + NDA02
2022,130.24,115.67,106.15,2.16,3.86,-2.51,29614,5461,15131,9022,44.8,CSO BEA04 + NDA02
2023,123.85,104.15,118.8,-4.91,-9.96,11.92,32473,5459,15490,11524,9.65,CSO BEA04 + NDA02
2024,124.39,108.9,116.34,0.44,4.56,-2.06,30136,5258,16192,8686,-7.2,CSO BEA04 + NDA02
2025,,,,,,,36246,5901,18303,12042,20.27,PBCI 2025 not yet published (BEA04 ends 2024)
