year,Total Construction and Demolition waste (C&D) generated (t),Total Construction and Demolition waste (C&D) collected (t),C&D metal collected (t)," C&D Segragated wood, glass & plastic  (t)"," C&D Concrete, brick, tile & gypsum  (t)", C&D Bituminous mixtures  (t),Mixed C&D waste  (t)," C&D Soils, stones & dredging spoil  (t)",Unnamed: 9,Total C&D treated (t),Total C&D waste recycled (t),Total C&D waste to Energy Recovery (t),Total C&D waste to Backfilling (t),Total C&D waste to Landfill Disposal (t)
2004,11167599.0,,,,,,,,,,,,,
2005,14931486.0,,,,,,,,,,,,,
2006,16819904.0,,,,,,,,,,,,,
2007,17791745.0,,,,,,,,,,,,,
2008,13500000.0,,,,,,,,,,,,,
2009,5093666.0,,,,,,,,,,,,,
2010,3464683.0,,,,,,,,,,,,,
2011,3003691.0,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,
2014,,3313858.0,,,,,,,,3313858.0,452266.0,866.0,2789552.0,71174.0
2015,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,
2017,,4749700.0,182000.0,18900.0,312500.0,40700.0,368500.0,3827100.0,,,,,,
2018,,6219541.465999999,179043.364,23068.29200000001,755525.95,60758.55999999998,414983.5699999999,4786161.7299999995,,6186484.753,523534.2961,19033.5365,5498267.831,145649.0898
2019,,8825130.070000006,190904.02600000007,30422.66,608745.7979999996,113453.6,393246.8060000003,7488357.180000006,,8745583.527,596200.0,34296.0,7208763.0,906324.0
2020,,8228404.0,199392.0,52131.0,524605.0,127681.0,377963.0,6946632.0,,8105982.047,651215.0991,38688.88368,6628875.198,787202.8669
2021,,9043749.0,257558.0,31946.0,608235.0,87343.0,362380.0,7696287.0,,9043749.494,679207.6714,26098.1883,7713738.136,624705.4988
2022,,8267813.0,206851.0,54101.0,616687.0,104270.0,544415.0,6741489.0,,8267814.0,816943.0,146931.0,6683870.0,620070.0
2023,,9042401.8494128,212700.46649999983,68693.60124000002,613053.5469999994,121411.62099999996,679761.5764728003,7346781.483200001,,8865990.977139,944214.1323429999,203735.0727,6655247.5034,1062794.2686959999
