country,year,tonnes,hazard,nace
European Union - 27 countries (from 2020),2010,262870000.0,Hazardous and non-hazardous - total,Construction
European Union - 27 countries (from 2020),2012,270150000.0,Hazardous and non-hazardous - total,Construction
European Union - 27 countries (from 2020),2014,239420000.0,Hazardous and non-hazardous - total,Construction
European Union - 27 countries (from 2020),2016,258800000.0,Hazardous and non-hazardous - total,Construction
European Union - 27 countries (from 2020),2018,280670000.0,Hazardous and non-hazardous - total,Construction
European Union - 27 countries (from 2020),2020,282600000.0,Hazardous and non-hazardous - total,Construction
European Union - 27 countries (from 2020),2022,302430000.0,Hazardous and non-hazardous - total,Construction
European Union - 28 countries (2013-2020),2010,319050000.0,Hazardous and non-hazardous - total,Construction
European Union - 28 countries (2013-2020),2012,322840000.0,Hazardous and non-hazardous - total,Construction
European Union - 28 countries (2013-2020),2014,298110000.0,Hazardous and non-hazardous - total,Construction
European Union - 28 countries (2013-2020),2016,322330000.0,Hazardous and non-hazardous - total,Construction
European Union - 28 countries (2013-2020),2018,345810000.0,Hazardous and non-hazardous - total,Construction
Belgium,2010,11487590.0,Hazardous and non-hazardous - total,Construction
Belgium,2012,12893806.0,Hazardous and non-hazardous - total,Construction
Belgium,2014,13629286.0,Hazardous and non-hazardous - total,Construction
Belgium,2016,15818121.0,Hazardous and non-hazardous - total,Construction
Belgium,2018,18458795.0,Hazardous and non-hazardous - total,Construction
Belgium,2020,16833764.0,Hazardous and non-hazardous - total,Construction
Belgium,2022,20963285.0,Hazardous and non-hazardous - total,Construction
Bulgaria,2010,27109.0,Hazardous and non-hazardous - total,Construction
Bulgaria,2012,624332.0,Hazardous and non-hazardous - total,Construction
Bulgaria,2014,491341.0,Hazardous and non-hazardous - total,Construction
Bulgaria,2016,131450.0,Hazardous and non-hazardous - total,Construction
Bulgaria,2018,73731.0,Hazardous and non-hazardous - total,Construction
Bulgaria,2020,704565.0,Hazardous and non-hazardous - total,Construction
Bulgaria,2022,411578.0,Hazardous and non-hazardous - total,Construction
Czechia,2010,1913208.0,Hazardous and non-hazardous - total,Construction
Czechia,2012,2389602.0,Hazardous and non-hazardous - total,Construction
Czechia,2014,2218403.0,Hazardous and non-hazardous - total,Construction
Czechia,2016,2803748.0,Hazardous and non-hazardous - total,Construction
Czechia,2018,4900831.0,Hazardous and non-hazardous - total,Construction
Czechia,2020,4133029.0,Hazardous and non-hazardous - total,Construction
Czechia,2022,4231436.0,Hazardous and non-hazardous - total,Construction
Denmark,2010,1153830.0,Hazardous and non-hazardous - total,Construction
Denmark,2012,2778386.0,Hazardous and non-hazardous - total,Construction
Denmark,2014,3302842.0,Hazardous and non-hazardous - total,Construction
Denmark,2016,3460195.0,Hazardous and non-hazardous - total,Construction
Denmark,2018,4127165.0,Hazardous and non-hazardous - total,Construction
Denmark,2020,3780148.0,Hazardous and non-hazardous - total,Construction
Denmark,2022,4173300.0,Hazardous and non-hazardous - total,Construction
Germany,2010,76730593.0,Hazardous and non-hazardous - total,Construction
Germany,2012,77846453.0,Hazardous and non-hazardous - total,Construction
Germany,2014,78781741.0,Hazardous and non-hazardous - total,Construction
Germany,2016,86379764.0,Hazardous and non-hazardous - total,Construction
Germany,2018,85914163.0,Hazardous and non-hazardous - total,Construction
Germany,2020,89009080.0,Hazardous and non-hazardous - total,Construction
Germany,2022,83599995.0,Hazardous and non-hazardous - total,Construction
Estonia,2010,203822.0,Hazardous and non-hazardous - total,Construction
Estonia,2012,307980.0,Hazardous and non-hazardous - total,Construction
Estonia,2014,318108.0,Hazardous and non-hazardous - total,Construction
Estonia,2016,485489.0,Hazardous and non-hazardous - total,Construction
Estonia,2018,779233.0,Hazardous and non-hazardous - total,Construction
Estonia,2020,444437.0,Hazardous and non-hazardous - total,Construction
Estonia,2022,644500.0,Hazardous and non-hazardous - total,Construction
Ireland,2010,1176851.0,Hazardous and non-hazardous - total,Construction
Ireland,2012,93691.0,Hazardous and non-hazardous - total,Construction
Ireland,2014,133312.0,Hazardous and non-hazardous - total,Construction
Ireland,2016,135619.0,Hazardous and non-hazardous - total,Construction
Ireland,2018,565113.0,Hazardous and non-hazardous - total,Construction
Ireland,2020,1307749.0,Hazardous and non-hazardous - total,Construction
Ireland,2022,826409.0,Hazardous and non-hazardous - total,Construction
Greece,2010,1545533.0,Hazardous and non-hazardous - total,Construction
Greece,2012,601476.0,Hazardous and non-hazardous - total,Construction
Greece,2014,355171.0,Hazardous and non-hazardous - total,Construction
Greece,2016,126337.0,Hazardous and non-hazardous - total,Construction
Greece,2018,444215.0,Hazardous and non-hazardous - total,Construction
Greece,2020,2987684.0,Hazardous and non-hazardous - total,Construction
Greece,2022,3543919.0,Hazardous and non-hazardous - total,Construction
Spain,2010,10185692.0,Hazardous and non-hazardous - total,Construction
Spain,2012,25295101.0,Hazardous and non-hazardous - total,Construction
Spain,2014,5141192.0,Hazardous and non-hazardous - total,Construction
Spain,2016,12156104.0,Hazardous and non-hazardous - total,Construction
Spain,2018,13061329.0,Hazardous and non-hazardous - total,Construction
Spain,2020,13434566.0,Hazardous and non-hazardous - total,Construction
Spain,2022,13583395.0,Hazardous and non-hazardous - total,Construction
France,2010,65478322.0,Hazardous and non-hazardous - total,Construction
France,2012,62188047.0,Hazardous and non-hazardous - total,Construction
France,2014,61122538.0,Hazardous and non-hazardous - total,Construction
France,2016,60245692.0,Hazardous and non-hazardous - total,Construction
France,2018,64545399.0,Hazardous and non-hazardous - total,Construction
France,2020,56837848.0,Hazardous and non-hazardous - total,Construction
France,2022,66294178.0,Hazardous and non-hazardous - total,Construction
Croatia,2010,1064.0,Hazardous and non-hazardous - total,Construction
Croatia,2012,169361.0,Hazardous and non-hazardous - total,Construction
Croatia,2014,164440.0,Hazardous and non-hazardous - total,Construction
Croatia,2016,561037.0,Hazardous and non-hazardous - total,Construction
Croatia,2018,490355.0,Hazardous and non-hazardous - total,Construction
Croatia,2020,630139.0,Hazardous and non-hazardous - total,Construction
Croatia,2022,591031.0,Hazardous and non-hazardous - total,Construction
Italy,2010,35800652.0,Hazardous and non-hazardous - total,Construction
Italy,2012,33811563.0,Hazardous and non-hazardous - total,Construction
Italy,2014,34088306.0,Hazardous and non-hazardous - total,Construction
Italy,2016,34916038.0,Hazardous and non-hazardous - total,Construction
Italy,2018,40726522.0,Hazardous and non-hazardous - total,Construction
Italy,2020,45646475.0,Hazardous and non-hazardous - total,Construction
Italy,2022,54872932.0,Hazardous and non-hazardous - total,Construction
Cyprus,2010,156773.0,Hazardous and non-hazardous - total,Construction
Cyprus,2012,130369.0,Hazardous and non-hazardous - total,Construction
Cyprus,2014,148384.0,Hazardous and non-hazardous - total,Construction
Cyprus,2016,325399.0,Hazardous and non-hazardous - total,Construction
Cyprus,2018,318178.0,Hazardous and non-hazardous - total,Construction
Cyprus,2020,421192.0,Hazardous and non-hazardous - total,Construction
Cyprus,2022,339145.0,Hazardous and non-hazardous - total,Construction
Latvia,2010,18498.0,Hazardous and non-hazardous - total,Construction
Latvia,2012,4492.0,Hazardous and non-hazardous - total,Construction
Latvia,2014,452236.0,Hazardous and non-hazardous - total,Construction
Latvia,2016,107095.0,Hazardous and non-hazardous - total,Construction
Latvia,2018,306730.0,Hazardous and non-hazardous - total,Construction
Latvia,2020,249381.0,Hazardous and non-hazardous - total,Construction
Latvia,2022,295612.0,Hazardous and non-hazardous - total,Construction
Lithuania,2010,227330.0,Hazardous and non-hazardous - total,Construction
Lithuania,2012,313056.0,Hazardous and non-hazardous - total,Construction
Lithuania,2014,392140.0,Hazardous and non-hazardous - total,Construction
Lithuania,2016,445837.0,Hazardous and non-hazardous - total,Construction
Lithuania,2018,505336.0,Hazardous and non-hazardous - total,Construction
Lithuania,2020,462061.0,Hazardous and non-hazardous - total,Construction
Lithuania,2022,478158.0,Hazardous and non-hazardous - total,Construction
Luxembourg,2010,556095.0,Hazardous and non-hazardous - total,Construction
Luxembourg,2012,523346.0,Hazardous and non-hazardous - total,Construction
Luxembourg,2014,521386.0,Hazardous and non-hazardous - total,Construction
Luxembourg,2016,545329.0,Hazardous and non-hazardous - total,Construction
Luxembourg,2018,517921.0,Hazardous and non-hazardous - total,Construction
Luxembourg,2020,593708.0,Hazardous and non-hazardous - total,Construction
Luxembourg,2022,850732.0,Hazardous and non-hazardous - total,Construction
Hungary,2010,2958097.0,Hazardous and non-hazardous - total,Construction
Hungary,2012,2918973.0,Hazardous and non-hazardous - total,Construction
Hungary,2014,1887959.0,Hazardous and non-hazardous - total,Construction
Hungary,2016,1959136.0,Hazardous and non-hazardous - total,Construction
Hungary,2018,2645413.0,Hazardous and non-hazardous - total,Construction
Hungary,2020,1430183.0,Hazardous and non-hazardous - total,Construction
Hungary,2022,3698079.0,Hazardous and non-hazardous - total,Construction
Malta,2010,738164.0,Hazardous and non-hazardous - total,Construction
Malta,2012,492134.0,Hazardous and non-hazardous - total,Construction
Malta,2014,983933.0,Hazardous and non-hazardous - total,Construction
Malta,2016,1284979.0,Hazardous and non-hazardous - total,Construction
Malta,2018,1866732.0,Hazardous and non-hazardous - total,Construction
Malta,2020,2958348.0,Hazardous and non-hazardous - total,Construction
