country,year,tonnes,hazard,operation
European Union - 27 countries (from 2020),2010,252050000,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
European Union - 27 countries (from 2020),2012,243840000,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
European Union - 27 countries (from 2020),2014,227290000,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
European Union - 27 countries (from 2020),2016,246940000,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
European Union - 27 countries (from 2020),2018,269910000,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
European Union - 27 countries (from 2020),2020,270470000,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
European Union - 27 countries (from 2020),2022,281740000,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
European Union - 28 countries (2013-2020),2010,305070000,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
European Union - 28 countries (2013-2020),2012,293660000,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
European Union - 28 countries (2013-2020),2014,283460000,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
European Union - 28 countries (2013-2020),2016,307270000,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
European Union - 28 countries (2013-2020),2018,331470000,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Belgium,2010,123515,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Belgium,2012,243167,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Belgium,2014,222219,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Belgium,2016,472985,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Belgium,2018,585408,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Belgium,2020,4710913,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Belgium,2022,2615946,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Bulgaria,2010,48877,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Bulgaria,2012,487036,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Bulgaria,2014,682013,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Bulgaria,2016,611674,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Bulgaria,2018,525966,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Bulgaria,2020,938974,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Bulgaria,2022,325674,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Czechia,2010,2986424,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Czechia,2012,3502831,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Czechia,2014,3583425,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Czechia,2016,4893384,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Czechia,2018,7411884,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Czechia,2020,7066101,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Czechia,2022,6697014,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Denmark,2010,2188962,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Denmark,2012,2743145,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Denmark,2014,3297001,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Denmark,2016,3471625,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Denmark,2018,4090287,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Denmark,2020,3695102,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Denmark,2022,4491554,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Germany,2010,74824387,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Germany,2012,75561613,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Germany,2014,76384581,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Germany,2016,83796189,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Germany,2018,83042460,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Germany,2020,85706884,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Germany,2022,80811555,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Estonia,2010,608427,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Estonia,2012,543081,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Estonia,2014,724210,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Estonia,2016,509531,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Estonia,2018,1026665,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Estonia,2020,671028,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Estonia,2022,766354,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Ireland,2010,458963,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Ireland,2012,286405,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Ireland,2014,398461,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Ireland,2016,444150,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Ireland,2018,877569,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Ireland,2020,554329,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Ireland,2022,748543,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Greece,2010,1544754,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Greece,2012,604369,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Greece,2014,140112,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Greece,2016,138099,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Greece,2018,718860,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Greece,2020,1573901,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Greece,2022,2236071,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Spain,2010,11383724,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Spain,2012,27393121,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Spain,2014,7097160,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Spain,2016,9148448,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Spain,2018,14495808,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Spain,2020,14371856,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Spain,2022,14647979,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
France,2010,65061585,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
France,2012,61818603,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
France,2014,60551785,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
France,2016,63998536,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
France,2018,68965855,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
France,2020,53196319,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
France,2022,62028210,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Croatia,2010,44352,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Croatia,2012,250193,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Croatia,2014,287439,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Croatia,2016,450954,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Croatia,2018,305411,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Croatia,2020,420733,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Croatia,2022,431573,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Italy,2010,31130088,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Italy,2012,30865123,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Italy,2014,31389371,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Italy,2016,34092663,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Italy,2018,40364355,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Italy,2020,45583675,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Italy,2022,53984294,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Cyprus,2010,160251,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Cyprus,2012,138221,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Cyprus,2014,111232,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Cyprus,2016,187343,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Cyprus,2018,219631,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Cyprus,2020,259675,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Cyprus,2022,228953,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Latvia,2010,146712,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Latvia,2012,155323,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Latvia,2014,113431,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Latvia,2016,112528,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Latvia,2018,396407,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Latvia,2020,317839,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Latvia,2022,368226,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Lithuania,2010,320869,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Lithuania,2012,457263,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Lithuania,2014,575433,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Lithuania,2016,764791,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Lithuania,2018,661381,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Lithuania,2020,602860,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Lithuania,2022,634913,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Luxembourg,2010,539297,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Luxembourg,2012,524528,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Luxembourg,2014,496708,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Luxembourg,2016,502535,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Luxembourg,2018,390251,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Luxembourg,2020,542699,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Luxembourg,2022,1092887,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Hungary,2010,2374434,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Hungary,2012,1923520,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Hungary,2014,2415994,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Hungary,2016,2580731,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Hungary,2018,3478197,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Hungary,2020,4320114,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Hungary,2022,3793996,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Malta,2010,756584,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Malta,2012,507563,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Malta,2014,788308,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Malta,2016,1030298,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Malta,2018,1759966,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Malta,2020,2947811,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Malta,2022,2062368,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Netherlands,2010,20079722,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Netherlands,2012,19420519,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Netherlands,2014,18892255,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Netherlands,2016,19409926,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Netherlands,2018,20339362,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Netherlands,2020,20259180,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Netherlands,2022,20027460,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Austria,2010,5908180,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Austria,2012,6285962,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Austria,2014,9160040,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Austria,2016,10009516,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Austria,2018,10548788,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Austria,2020,10709663,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Austria,2022,10890585,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
Poland,2010,3173454,Hazardous and non-hazardous - total [HAZ_NHAZ],Waste treatment [TRT]
