licensee,year,total_accepted_t,n_records,n_low_codes,recovery_share,disposal_share,other_share,backfill_share,hazardous_share,recovery_rate,cluster,anomaly_score,is_anomaly,archetype
Ashgrove Recycling - W0147,2021,6471.860000000001,26.0,13.0,0.0,0.0,1.0,0.0,0.0,,1,0.13007650979080365,False,Transfer/storage
Ashgrove Recycling - W0147,2022,7201.27,32.0,12.0,0.0,0.0,1.0,0.0,0.0,,1,0.12039763433295253,False,Transfer/storage
Ashgrove Recycling - W0147,2023,5496.0,24.0,14.0,0.30314410480349346,0.0,0.6968558951965066,0.30314410480349346,0.0,1.0,1,-0.06485111617093842,True,Transfer/storage
Ashgrove Recycling - W0147,2024,7915.320000000001,24.0,14.0,0.0,0.28205050459109676,0.7179494954089032,0.0,0.0,0.0,1,-0.00014101674593625102,True,Transfer/storage
Ashgrove Recycling - W0147,2025,8716.06,22.0,12.0,0.0,0.26135891675826006,0.73864108324174,0.0,0.0,0.0,1,0.03456557757646195,False,Transfer/storage
Athy Civic Amenity Centre - W0175,2023,12.66,2.0,1.0,0.0,0.0,1.0,0.0,0.0,,4,0.1887575057818564,False,Small transfer/storage
Athy Civic Amenity Centre - W0175,2024,44.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,,4,0.19683016354191274,False,Small transfer/storage
Athy Civic Amenity Centre - W0175,2025,37.410000000000004,5.0,4.0,0.0,0.0,1.0,0.0,0.0,,4,0.1944749814765846,False,Small transfer/storage
Ballaghveny Landfill - W0078,2021,6805.01,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.11152953361931062,False,Disposal/Landfill
Ballaghveny Landfill - W0078,2022,31060.880000000005,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.1133498797494214,False,Disposal/Landfill
Ballaghveny Landfill - W0078,2023,16913.36,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.11632347999229731,False,Disposal/Landfill
Ballaghveny Landfill - W0078,2024,22680.54,7.0,2.0,0.0,0.7286572541923605,0.0,0.0,0.0,0.0,3,0.09377713986309211,False,Disposal/Landfill
Ballaghveny Landfill - W0078,2025,4062.54,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.10191356083735847,False,Disposal/Landfill
Ballymount Baling Station - W0003,2021,4667.12,6.0,2.0,0.0,0.0,1.0,0.0,0.0,,4,0.21243057426528156,False,Small transfer/storage
Ballymount Baling Station - W0003,2022,4344.72,4.0,2.0,0.0,0.0,1.0,0.0,0.0,,4,0.20800130185044624,False,Small transfer/storage
Ballymount Baling Station - W0003,2023,5145.97,4.0,2.0,0.0,0.0,1.0,0.0,0.0,,4,0.20800130185044624,False,Small transfer/storage
Ballymount Baling Station - W0003,2024,5873.650000000001,4.0,2.0,0.0,0.0,1.0,0.0,0.0,,4,0.20589746296401829,False,Small transfer/storage
Ballymount Baling Station - W0003,2025,5819.02,6.0,3.0,0.0,0.0,1.0,0.0,0.0,,4,0.21708233640839802,False,Small transfer/storage
Ballynagran Residual Landfill - W0165,2021,21340.2,18.0,3.0,0.9414532197448947,0.05854678025510539,0.0,0.04213643733423304,0.0,0.9414532197448946,0,0.08442617608004599,False,Recycler/Recovery
Ballynagran Residual Landfill - W0165,2022,21004.96,13.0,2.0,0.998952628331594,0.0010473716684059385,0.0,0.998952628331594,0.0,0.998952628331594,2,0.08888184562510637,False,Recycler/Recovery
Ballynagran Residual Landfill - W0165,2023,9085.7,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.17557012451001341,False,Recycler/Recovery
Ballynagran Residual Landfill - W0165,2024,3476.92,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2,0.13321517680145856,False,Recycler/Recovery
Ballynagran Residual Landfill - W0165,2025,4133.34,5.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2,0.1039916818095113,False,Recycler/Recovery
Ballyogan Landfill Facility Ballyogan Recycling Park - W0015,2021,10.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.17123665351002632,False,Recycler/Recovery
Ballyogan Landfill Facility Ballyogan Recycling Park - W0015,2022,18.62,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.1754691783944176,False,Recycler/Recovery
Ballyogan Landfill Facility Ballyogan Recycling Park - W0015,2023,14.48,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.1742002211131331,False,Recycler/Recovery
Ballyogan Landfill Facility Ballyogan Recycling Park - W0015,2024,14.52,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.1742002211131331,False,Recycler/Recovery
Ballyogan Landfill Facility Ballyogan Recycling Park - W0015,2025,19.82,2.0,1.0,0.0,0.0,1.0,0.0,0.0,,4,0.1924726499036703,False,Small transfer/storage
Blackhall Soil Recovery Facility - W0247,2022,88753.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.09143729933997491,False,Disposal/Landfill
