licensee,year,total_accepted_t,n_records,n_low_codes,recovery_share,disposal_share,other_share,backfill_share,hazardous_share,recovery_rate
Ashgrove Recycling - W0147,2021,6471.860000000001,26.0,13.0,0.0,0.0,1.0,0.0,0.0,
Ashgrove Recycling - W0147,2022,7201.27,32.0,12.0,0.0,0.0,1.0,0.0,0.0,
Ashgrove Recycling - W0147,2023,5496.0,24.0,14.0,0.30314410480349346,0.0,0.6968558951965066,0.30314410480349346,0.0,1.0
Ashgrove Recycling - W0147,2024,7915.320000000001,24.0,14.0,0.0,0.28205050459109676,0.7179494954089032,0.0,0.0,0.0
Ashgrove Recycling - W0147,2025,8716.06,22.0,12.0,0.0,0.26135891675826006,0.73864108324174,0.0,0.0,0.0
Athy Civic Amenity Centre - W0175,2023,12.66,2.0,1.0,0.0,0.0,1.0,0.0,0.0,
Athy Civic Amenity Centre - W0175,2024,44.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,
Athy Civic Amenity Centre - W0175,2025,37.410000000000004,5.0,4.0,0.0,0.0,1.0,0.0,0.0,
Ballaghveny Landfill - W0078,2021,6805.01,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Ballaghveny Landfill - W0078,2022,31060.880000000005,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Ballaghveny Landfill - W0078,2023,16913.36,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Ballaghveny Landfill - W0078,2024,22680.54,7.0,2.0,0.0,0.7286572541923605,0.0,0.0,0.0,0.0
Ballaghveny Landfill - W0078,2025,4062.54,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Ballymount Baling Station - W0003,2021,4667.12,6.0,2.0,0.0,0.0,1.0,0.0,0.0,
Ballymount Baling Station - W0003,2022,4344.72,4.0,2.0,0.0,0.0,1.0,0.0,0.0,
Ballymount Baling Station - W0003,2023,5145.97,4.0,2.0,0.0,0.0,1.0,0.0,0.0,
Ballymount Baling Station - W0003,2024,5873.650000000001,4.0,2.0,0.0,0.0,1.0,0.0,0.0,
Ballymount Baling Station - W0003,2025,5819.02,6.0,3.0,0.0,0.0,1.0,0.0,0.0,
Ballynagran Residual Landfill - W0165,2021,21340.2,18.0,3.0,0.9414532197448947,0.05854678025510539,0.0,0.04213643733423304,0.0,0.9414532197448946
Ballynagran Residual Landfill - W0165,2022,21004.96,13.0,2.0,0.998952628331594,0.0010473716684059385,0.0,0.998952628331594,0.0,0.998952628331594
Ballynagran Residual Landfill - W0165,2023,9085.7,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Ballynagran Residual Landfill - W0165,2024,3476.92,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Ballynagran Residual Landfill - W0165,2025,4133.34,5.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Ballyogan Landfill Facility Ballyogan Recycling Park - W0015,2021,10.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Ballyogan Landfill Facility Ballyogan Recycling Park - W0015,2022,18.62,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Ballyogan Landfill Facility Ballyogan Recycling Park - W0015,2023,14.48,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Ballyogan Landfill Facility Ballyogan Recycling Park - W0015,2024,14.52,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Ballyogan Landfill Facility Ballyogan Recycling Park - W0015,2025,19.82,2.0,1.0,0.0,0.0,1.0,0.0,0.0,
Blackhall Soil Recovery Facility - W0247,2022,88753.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Blackhall Soil Recovery Facility - W0247,2025,46962.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
Blancomet Recycling IE Limited - P1115,2022,180.433,16.0,5.0,0.9185847378251207,0.0,0.08141526217487932,0.0,0.0,1.0
Blancomet Recycling IE Limited - P1115,2023,265.06399999999996,12.0,5.0,0.9133643195605591,0.0,0.08663568043944105,0.0,0.0,1.0
Blancomet Recycling IE Limited - P1115,2024,363.427,20.0,5.0,0.8933513470380571,0.0,0.10664865296194283,0.0,0.0,1.0
Blancomet Recycling IE Limited - P1115,2025,566.0730000000001,17.0,7.0,0.8389801315378052,0.0,0.1610198684621948,0.0,0.0,1.0
Boliden Tara Mines Limited - P0516,2021,15555.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Boliden Tara Mines Limited - P0516,2022,334632.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Boliden Tara Mines Limited - P0516,2023,164158.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Boliden Tara Mines Limited - P0516,2025,46639.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Bord Na Móna Recycling Limited - W0104,2021,98.35,5.0,4.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0104,2022,105.82,4.0,2.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0104,2023,103.99000000000001,6.0,4.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0104,2024,14.5,3.0,2.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0131,2021,19440.17,14.0,9.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0131,2022,11891.0,13.0,8.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0131,2023,15269.83,9.0,7.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0131,2024,11287.140000000001,9.0,8.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0131,2025,11797.810000000001,11.0,8.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0194,2021,1009.25,19.0,9.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0194,2022,806.96,15.0,8.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0194,2023,704.63,11.0,7.0,0.0,0.0,1.0000000000000002,0.0,0.0,
Bord Na Móna Recycling Limited - W0194,2024,747.19,10.0,7.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0194,2025,607.38,11.0,7.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0222,2021,39849.64,12.0,8.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0222,2022,34516.130000000005,14.0,10.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0222,2023,41473.87,14.0,9.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0222,2024,39618.5,10.0,8.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0222,2025,39755.56,11.0,9.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0229,2021,468.25509999999997,11.0,6.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0229,2022,576.73,12.0,7.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0229,2023,638.26,11.0,6.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0229,2024,225.512,10.0,6.0,0.0,0.0,1.0000000000000002,0.0,0.0,
Bord Na Móna Recycling Limited - W0229,2025,371.25,10.0,6.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0240,2021,69.16,10.0,6.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0240,2022,110.39999999999999,8.0,5.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0240,2023,412.88000000000005,11.0,6.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0240,2024,381.96,8.0,5.0,0.0,0.0,1.0,0.0,0.0,
Bord Na Móna Recycling Limited - W0240,2025,331.34000000000003,13.0,6.0,0.0,0.0,1.0,0.0,0.0,
Brownswood Inert Waste Recovery Facility - W0280,2021,135249.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Brownswood Inert Waste Recovery Facility - W0280,2022,131109.74,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Brownswood Inert Waste Recovery Facility - W0280,2023,196155.14,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Brownswood Inert Waste Recovery Facility - W0280,2024,83684.77,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Bruscar Bhearna Teoranta  (Carrowbrowne) - W0106,2021,9860.74,4.0,3.0,0.0,0.0,1.0,0.0,0.0,
Bruscar Bhearna Teoranta  (Carrowbrowne) - W0106,2022,12708.85,4.0,3.0,0.0,0.0,1.0,0.0,0.0,
Bruscar Bhearna Teoranta  (Carrowbrowne) - W0106,2023,11122.96,3.0,2.0,0.0,0.0,1.0,0.0,0.0,
Bruscar Bhearna Teoranta  (Carrowbrowne) - W0106,2024,12770.01,5.0,2.0,0.0,0.0,1.0,0.0,0.0,
Bruscar Bhearna Teoranta  (Carrowbrowne) - W0106,2025,13652.54,9.0,4.0,0.0,0.0,1.0,0.0,0.0,
Bruscar Bhearna Teoranta (Ballaghadereen) - W0163,2021,853.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
Bruscar Bhearna Teoranta (Ballaghadereen) - W0163,2022,873.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Bruscar Bhearna Teoranta (Ballaghadereen) - W0163,2023,1609.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
Bruscar Bhearna Teoranta (Ballaghadereen) - W0163,2024,1809.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
Bruscar Bhearna Teoranta (Ballaghadereen) - W0163,2025,2827.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
Bruscar Bhearna Teoranta (Drumshanbo) - W0216,2021,388.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
Bruscar Bhearna Teoranta (Drumshanbo) - W0216,2022,490.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
