licensee,year,total_accepted_t,n_records,n_low_codes,disposal,other,recovery,recovery_rate
Ashgrove Recycling - W0147,2021,6471.86,26,13,0.0,6471.86,0.0,
Ashgrove Recycling - W0147,2022,7201.27,32,12,0.0,7201.27,0.0,
Ashgrove Recycling - W0147,2023,5496.0,24,14,0.0,3829.92,1666.0800000000002,1.0
Ashgrove Recycling - W0147,2024,7915.320000000001,24,14,2232.52,5682.8,0.0,0.0
Ashgrove Recycling - W0147,2025,8716.060000000001,22,12,2278.02,6438.04,0.0,0.0
Athy Civic Amenity Centre - W0175,2023,12.66,2,1,0.0,12.66,0.0,
Athy Civic Amenity Centre - W0175,2024,44.0,2,2,0.0,44.0,0.0,
Athy Civic Amenity Centre - W0175,2025,37.410000000000004,5,4,0.0,37.410000000000004,0.0,
Ballaghveny Landfill - W0078,2021,6805.01,4,1,6805.01,0.0,0.0,0.0
Ballaghveny Landfill - W0078,2022,31060.88,4,1,31060.88,0.0,0.0,0.0
Ballaghveny Landfill - W0078,2023,16913.36,3,1,16913.36,0.0,0.0,0.0
Ballaghveny Landfill - W0078,2024,22680.54,7,2,16526.34,6154.200000000001,0.0,0.0
Ballaghveny Landfill - W0078,2025,4062.54,3,1,4062.54,0.0,0.0,0.0
Ballymount Baling Station - W0003,2021,4667.12,6,2,0.0,4667.12,0.0,
Ballymount Baling Station - W0003,2022,4344.72,4,2,0.0,4344.72,0.0,
Ballymount Baling Station - W0003,2023,5145.97,4,2,0.0,5145.97,0.0,
Ballymount Baling Station - W0003,2024,5873.650000000001,4,2,0.0,5873.650000000001,0.0,
Ballymount Baling Station - W0003,2025,5819.02,6,3,0.0,5819.02,0.0,
Ballynagran Residual Landfill - W0165,2021,21340.2,18,3,1249.4,0.0,20090.8,0.9414532197448946
Ballynagran Residual Landfill - W0165,2022,21004.96,13,2,22.0,0.0,20982.96,0.998952628331594
Ballynagran Residual Landfill - W0165,2023,9085.7,9,1,0.0,0.0,9085.7,1.0
Ballynagran Residual Landfill - W0165,2024,3476.92,2,1,0.0,0.0,3476.92,1.0
Ballynagran Residual Landfill - W0165,2025,4133.34,5,1,0.0,0.0,4133.34,1.0
Ballyogan Landfill Facility Ballyogan Recycling Park - W0015,2021,10.0,2,1,0.0,0.0,10.0,1.0
Ballyogan Landfill Facility Ballyogan Recycling Park - W0015,2022,18.62,2,1,0.0,0.0,18.62,1.0
Ballyogan Landfill Facility Ballyogan Recycling Park - W0015,2023,14.48,2,1,0.0,0.0,14.48,1.0
Ballyogan Landfill Facility Ballyogan Recycling Park - W0015,2024,14.52,2,1,0.0,0.0,14.52,1.0
Ballyogan Landfill Facility Ballyogan Recycling Park - W0015,2025,19.82,2,1,0.0,19.82,0.0,
Blackhall Soil Recovery Facility - W0247,2022,88753.0,3,3,88753.0,0.0,0.0,0.0
Blackhall Soil Recovery Facility - W0247,2025,46962.0,5,3,0.0,0.0,46962.0,1.0
Blancomet Recycling IE Limited - P1115,2022,180.433,16,5,0.0,14.69,165.743,1.0
Blancomet Recycling IE Limited - P1115,2023,265.064,12,5,0.0,22.964,242.1,1.0
Blancomet Recycling IE Limited - P1115,2024,363.42699999999996,20,5,0.0,38.759,324.66799999999995,1.0
Blancomet Recycling IE Limited - P1115,2025,566.073,17,7,0.0,91.149,474.92400000000004,1.0
Boliden Tara Mines Limited - P0516,2021,15555.0,2,1,0.0,0.0,15555.0,1.0
Boliden Tara Mines Limited - P0516,2022,334632.0,2,1,0.0,0.0,334632.0,1.0
