model,seed,val_year,actual,predicted,mape
LSTM,0,2021,9043749.0,7621770.159154236,15.723333772816602
LSTM,0,2022,8267813.0,7753554.642443597,6.22000470446541
LSTM,0,2023,9042401.849412804,8507276.017294884,5.91796119028564
LSTM,1,2021,9043749.0,7550413.009934902,16.512355551498587
LSTM,1,2022,8267813.0,7988722.836931527,3.375622586873619
LSTM,1,2023,9042401.849412804,7803384.022283971,13.702308830803538
LSTM,2,2021,9043749.0,7455921.232222319,17.557185275461332
LSTM,2,2022,8267813.0,7726178.099804699,6.551126642502686
LSTM,2,2023,9042401.849412804,7802878.077614963,13.707904077259448
LSTM,3,2021,9043749.0,7273680.226876557,19.572289911224242
LSTM,3,2022,8267813.0,7771905.273217261,5.998052045719215
LSTM,3,2023,9042401.849412804,7697129.031016946,14.877383695165216
LSTM,4,2021,9043749.0,7693660.577580452,14.928415443855728
LSTM,4,2022,8267813.0,7685500.677278459,7.043124012620278
LSTM,4,2023,9042401.849412804,8539793.098800778,5.558354505608092
LSTM,5,2021,9043749.0,7577608.4173308015,16.21164610682139
LSTM,5,2022,8267813.0,7710856.5262697935,6.73644256020554
LSTM,5,2023,9042401.849412804,7599253.858509958,15.959786071623899
LSTM,6,2021,9043749.0,7444564.801707506,17.682757430491424
LSTM,6,2022,8267813.0,7721249.105747044,6.61074330361555
LSTM,6,2023,9042401.849412804,7752266.863416731,14.267613931356655
LSTM,7,2021,9043749.0,7456732.153991461,17.54821862049178
LSTM,7,2022,8267813.0,7743450.733487427,6.342212463109323
LSTM,7,2023,9042401.849412804,7197889.010309756,20.39848338771659
LSTM,8,2021,9043749.0,7366870.122574985,18.54185556703326
LSTM,8,2022,8267813.0,7945773.51129663,3.8950988454065194
LSTM,8,2023,9042401.849412804,8614338.404584229,4.733957326353209
LSTM,9,2021,9043749.0,7685719.273581445,15.01622531119069
LSTM,9,2022,8267813.0,7761976.770165503,6.118138252939405
LSTM,9,2023,9042401.849412804,7871259.055797875,12.951678250076679
RNN,0,2021,9043749.0,7455944.590295017,17.556926996812752
RNN,0,2022,8267813.0,9682033.263305008,17.105131227629464
RNN,0,2023,9042401.849412804,7988561.974732757,11.654424258400793
RNN,1,2021,9043749.0,8243342.135920048,8.850387865474287
RNN,1,2022,8267813.0,9392847.101751745,13.607396560030383
RNN,1,2023,9042401.849412804,8115019.054573536,10.255934322355857
RNN,2,2021,9043749.0,7829660.531914294,13.424614815003228
RNN,2,2022,8267813.0,8682676.192368567,5.017810542746516
RNN,2,2023,9042401.849412804,7712002.834705412,14.71289417195925
RNN,3,2021,9043749.0,7619384.991428912,15.749707434063998
RNN,3,2022,8267813.0,8669042.570124865,4.852910559598586
RNN,3,2023,9042401.849412804,7535999.756925106,16.659313726314
RNN,4,2021,9043749.0,7490795.716197312,17.171565506768136
RNN,4,2022,8267813.0,9677105.591402411,17.045530558110244
RNN,4,2023,9042401.849412804,8663626.141569018,4.188883818168102
RNN,5,2021,9043749.0,7430953.656099796,17.833260784882505
RNN,5,2022,8267813.0,8759514.555741608,5.947177999086435
RNN,5,2023,9042401.849412804,8211120.3357105255,9.193149425849292
RNN,6,2021,9043749.0,7873259.47640121,12.942525534474589
RNN,6,2022,8267813.0,8970664.040720582,8.501051495970966
RNN,6,2023,9042401.849412804,7319997.52216351,19.0480843025257
RNN,7,2021,9043749.0,7342796.763990283,18.80804339007769
RNN,7,2022,8267813.0,9021647.661926925,9.117703338560332
RNN,7,2023,9042401.849412804,8101345.767678082,10.407147319999197
RNN,8,2021,9043749.0,7532655.5860641,16.70870580260354
RNN,8,2022,8267813.0,9500364.310381174,14.907827624804456
RNN,8,2023,9042401.849412804,8247965.712159216,8.785676090088577
RNN,9,2021,9043749.0,7620319.755055189,15.739371414938768
RNN,9,2022,8267813.0,9045840.895903587,9.410322849628884
RNN,9,2023,9042401.849412804,7347483.803672254,18.744113278383164
GRU,0,2021,9043749.0,7941013.753086448,12.19334201904047
GRU,0,2022,8267813.0,9046275.00348109,9.415573422876038
GRU,0,2023,9042401.849412804,8412852.11020863,6.962195992705805
GRU,1,2021,9043749.0,7937866.142610788,12.22814628523206
GRU,1,2022,8267813.0,8519981.927405953,3.0500076308686883
GRU,1,2023,9042401.849412804,7777947.081115723,13.983616182454808
GRU,2,2021,9043749.0,7601410.293410182,15.948460163918945
GRU,2,2022,8267813.0,8994880.632769942,8.793953525193933
GRU,2,2023,9042401.849412804,7761348.746512771,14.167177307909876
GRU,3,2021,9043749.0,7432617.367881596,17.814864522648783
GRU,3,2022,8267813.0,8441899.416122973,2.105592084907738
GRU,3,2023,9042401.849412804,7850187.87063241,13.184704668459457
GRU,4,2021,9043749.0,7822726.269351423,13.50128946135698
GRU,4,2022,8267813.0,8065223.169327974,2.4503436479758998
GRU,4,2023,9042401.849412804,8510777.524607837,5.879237990727982
GRU,5,2021,9043749.0,7787167.3497745395,13.894477281771758
GRU,5,2022,8267813.0,8475698.547317147,2.5143958543468177
GRU,5,2023,9042401.849412804,7714635.245426655,14.683782319101116
GRU,6,2021,9043749.0,7796266.420886338,13.793865565194945
GRU,6,2022,8267813.0,8094214.504011512,2.099690643565453
GRU,6,2023,9042401.849412804,7864886.268416464,13.022154960662421
GRU,7,2021,9043749.0,7630324.061663628,15.628750182433993
GRU,7,2022,8267813.0,8296305.904685497,0.3446244452492731
GRU,7,2023,9042401.849412804,7916920.121457517,12.44671213133902
GRU,8,2021,9043749.0,7500548.372626305,17.063726861213148
GRU,8,2022,8267813.0,8968906.455929637,8.479793337484011
GRU,8,2023,9042401.849412804,8433352.124388874,6.735486159172205
GRU,9,2021,9043749.0,8145626.944175124,9.930860042940996
GRU,9,2022,8267813.0,8283838.863921642,0.19383437822846625
GRU,9,2023,9042401.849412804,7712497.761415601,14.70742077320491
