model,availability_pct,n_train_rows,seed,mape
XGBoost,100,15,0,19.06041926170813
LightGBM,100,15,0,19.036321784169985
SVR,100,15,0,15.108643928381074
ARIMA,100,15,0,11.848488215360222
STL+LGBM,100,15,0,13.89850584628416
Prophet,100,15,0,58.138450159359856
TFT/MLP,100,15,0,4.702801501713819
XGBoost,75,11,0,15.30590521143117
LightGBM,75,11,0,42.73727887265124
SVR,75,11,0,22.482529871135075
ARIMA,75,11,0,8.161434987834754
STL+LGBM,75,11,0,9.914850044421327
Prophet,75,11,0,7.3528793343327585
TFT/MLP,75,11,0,5.00543293125613
XGBoost,50,8,0,2.387273833163324
LightGBM,50,8,0,31.961456761711798
SVR,50,8,0,17.367055751394037
ARIMA,50,8,0,7.948664816568892
STL+LGBM,50,8,0,12.749812225827558
Prophet,50,8,0,13.239745815313666
TFT/MLP,50,8,0,5.69834668634707
XGBoost,25,4,0,1.8242782892996998
LightGBM,25,4,0,9.935252346695446
SVR,25,4,0,9.709002201882305
ARIMA,25,4,0,7.208477319631741
STL+LGBM,25,4,0,9.935252346695446
Prophet,25,4,0,14.109656310841482
TFT/MLP,25,4,0,7.040627536485706
XGBoost,100,15,1,20.25761327162668
LightGBM,100,15,1,19.036321784169985
SVR,100,15,1,15.108643928381074
ARIMA,100,15,1,11.848488215360222
STL+LGBM,100,15,1,13.89850584628416
Prophet,100,15,1,58.138450159359856
TFT/MLP,100,15,1,16.244981980207292
XGBoost,75,11,1,16.091481404958945
LightGBM,75,11,1,42.73727887265124
SVR,75,11,1,22.482529871135075
ARIMA,75,11,1,8.161434987834754
STL+LGBM,75,11,1,9.914850044421327
Prophet,75,11,1,7.3528793343327585
TFT/MLP,75,11,1,11.410533670363769
XGBoost,50,8,1,2.139243342313791
LightGBM,50,8,1,31.961456761711798
SVR,50,8,1,17.367055751394037
ARIMA,50,8,1,7.948664816568892
STL+LGBM,50,8,1,12.749812225827558
Prophet,50,8,1,13.239745815313666
TFT/MLP,50,8,1,20.987627229105208
XGBoost,25,4,1,1.9431800866554012
LightGBM,25,4,1,9.935252346695446
SVR,25,4,1,9.709002201882305
ARIMA,25,4,1,7.208477319631741
STL+LGBM,25,4,1,9.935252346695446
Prophet,25,4,1,14.109656310841482
TFT/MLP,25,4,1,16.341375740428308
XGBoost,100,15,2,17.271423310615887
LightGBM,100,15,2,19.036321784169985
SVR,100,15,2,15.108643928381074
ARIMA,100,15,2,11.848488215360222
STL+LGBM,100,15,2,13.89850584628416
Prophet,100,15,2,58.138450159359856
TFT/MLP,100,15,2,11.51823449668219
XGBoost,75,11,2,16.944336467005858
LightGBM,75,11,2,42.73727887265124
SVR,75,11,2,22.482529871135075
ARIMA,75,11,2,8.161434987834754
STL+LGBM,75,11,2,9.914850044421327
Prophet,75,11,2,7.3528793343327585
TFT/MLP,75,11,2,6.636167850844177
XGBoost,50,8,2,2.211009626823046
LightGBM,50,8,2,31.961456761711798
SVR,50,8,2,17.367055751394037
ARIMA,50,8,2,7.948664816568892
STL+LGBM,50,8,2,12.749812225827558
Prophet,50,8,2,13.239745815313666
TFT/MLP,50,8,2,7.989329541049274
XGBoost,25,4,2,2.141481926521764
LightGBM,25,4,2,9.935252346695446
SVR,25,4,2,9.709002201882305
ARIMA,25,4,2,7.208477319631741
STL+LGBM,25,4,2,9.935252346695446
Prophet,25,4,2,14.109656310841482
TFT/MLP,25,4,2,3.8382576569032856
XGBoost,100,15,3,17.001366196089318
LightGBM,100,15,3,19.036321784169985
SVR,100,15,3,15.108643928381074
ARIMA,100,15,3,11.848488215360222
STL+LGBM,100,15,3,13.89850584628416
Prophet,100,15,3,58.138450159359856
TFT/MLP,100,15,3,6.2753153374326365
XGBoost,75,11,3,15.91970643635921
LightGBM,75,11,3,42.73727887265124
SVR,75,11,3,22.482529871135075
ARIMA,75,11,3,8.161434987834754
STL+LGBM,75,11,3,9.914850044421327
Prophet,75,11,3,7.3528793343327585
TFT/MLP,75,11,3,8.38971123750847
XGBoost,50,8,3,1.95307076633183
LightGBM,50,8,3,31.961456761711798
SVR,50,8,3,17.367055751394037
ARIMA,50,8,3,7.948664816568892
STL+LGBM,50,8,3,12.749812225827558
Prophet,50,8,3,13.239745815313666
TFT/MLP,50,8,3,4.732895344751953
XGBoost,25,4,3,1.8621276448754376
LightGBM,25,4,3,9.935252346695446
SVR,25,4,3,9.709002201882305
ARIMA,25,4,3,7.208477319631741
STL+LGBM,25,4,3,9.935252346695446
Prophet,25,4,3,14.109656310841482
TFT/MLP,25,4,3,4.26310630541107
XGBoost,100,15,4,16.406956446562226
LightGBM,100,15,4,19.036321784169985
SVR,100,15,4,15.108643928381074
ARIMA,100,15,4,11.848488215360222
STL+LGBM,100,15,4,13.89850584628416
Prophet,100,15,4,58.138450159359856
TFT/MLP,100,15,4,26.044872483379226
XGBoost,75,11,4,14.252032429457365
LightGBM,75,11,4,42.73727887265124
SVR,75,11,4,22.482529871135075
ARIMA,75,11,4,8.161434987834754
STL+LGBM,75,11,4,9.914850044421327
Prophet,75,11,4,7.3528793343327585
TFT/MLP,75,11,4,13.619382704761648
XGBoost,50,8,4,2.1026709502370284
LightGBM,50,8,4,31.961456761711798
SVR,50,8,4,17.367055751394037
ARIMA,50,8,4,7.948664816568892
STL+LGBM,50,8,4,12.749812225827558
Prophet,50,8,4,13.239745815313666
TFT/MLP,50,8,4,4.5105165464537995
XGBoost,25,4,4,1.5960157036573306
LightGBM,25,4,4,9.935252346695446
SVR,25,4,4,9.709002201882305
ARIMA,25,4,4,7.208477319631741
STL+LGBM,25,4,4,9.935252346695446
Prophet,25,4,4,14.109656310841482
TFT/MLP,25,4,4,3.1654456708026184
XGBoost,100,15,5,16.984430644697213
LightGBM,100,15,5,19.036321784169985
SVR,100,15,5,15.108643928381074
ARIMA,100,15,5,11.848488215360222
STL+LGBM,100,15,5,13.89850584628416
Prophet,100,15,5,58.138450159359856
TFT/MLP,100,15,5,13.36080442978049
XGBoost,75,11,5,16.15041171983766
LightGBM,75,11,5,42.73727887265124
SVR,75,11,5,22.482529871135075
ARIMA,75,11,5,8.161434987834754
STL+LGBM,75,11,5,9.914850044421327
Prophet,75,11,5,7.3528793343327585
TFT/MLP,75,11,5,12.353899774454053
XGBoost,50,8,5,2.1972364951091574
LightGBM,50,8,5,31.961456761711798
SVR,50,8,5,17.367055751394037
ARIMA,50,8,5,7.948664816568892
STL+LGBM,50,8,5,12.749812225827558
Prophet,50,8,5,13.239745815313666
TFT/MLP,50,8,5,9.116058502541186
XGBoost,25,4,5,1.902855606586866
LightGBM,25,4,5,9.935252346695446
SVR,25,4,5,9.709002201882305
ARIMA,25,4,5,7.208477319631741
STL+LGBM,25,4,5,9.935252346695446
Prophet,25,4,5,14.109656310841482
TFT/MLP,25,4,5,11.528230349925469
XGBoost,100,15,6,18.787599849889624
LightGBM,100,15,6,19.036321784169985
SVR,100,15,6,15.108643928381074
ARIMA,100,15,6,11.848488215360222
STL+LGBM,100,15,6,13.89850584628416
Prophet,100,15,6,58.138450159359856
TFT/MLP,100,15,6,15.14608767357339
XGBoost,75,11,6,17.368218935879078
LightGBM,75,11,6,42.73727887265124
SVR,75,11,6,22.482529871135075
ARIMA,75,11,6,8.161434987834754
STL+LGBM,75,11,6,9.914850044421327
Prophet,75,11,6,7.3528793343327585
TFT/MLP,75,11,6,17.8101690710604
XGBoost,50,8,6,2.203179905503622
LightGBM,50,8,6,31.961456761711798
SVR,50,8,6,17.367055751394037
ARIMA,50,8,6,7.948664816568892
STL+LGBM,50,8,6,12.749812225827558
Prophet,50,8,6,13.239745815313666
TFT/MLP,50,8,6,10.70559067611812
XGBoost,25,4,6,1.8636156990560795
LightGBM,25,4,6,9.935252346695446
SVR,25,4,6,9.709002201882305
ARIMA,25,4,6,7.208477319631741
STL+LGBM,25,4,6,9.935252346695446
Prophet,25,4,6,14.109656310841482
TFT/MLP,25,4,6,9.193730781940761
XGBoost,100,15,7,16.355306608714766
LightGBM,100,15,7,19.036321784169985
SVR,100,15,7,15.108643928381074
ARIMA,100,15,7,11.848488215360222
STL+LGBM,100,15,7,13.89850584628416
Prophet,100,15,7,58.138450159359856
TFT/MLP,100,15,7,12.267817106217022
XGBoost,75,11,7,13.929206835348259
LightGBM,75,11,7,42.73727887265124
SVR,75,11,7,22.482529871135075
ARIMA,75,11,7,8.161434987834754
STL+LGBM,75,11,7,9.914850044421327
Prophet,75,11,7,7.3528793343327585
TFT/MLP,75,11,7,6.388630776207744
XGBoost,50,8,7,2.5921333299496987
LightGBM,50,8,7,31.961456761711798
SVR,50,8,7,17.367055751394037
ARIMA,50,8,7,7.948664816568892
STL+LGBM,50,8,7,12.749812225827558
Prophet,50,8,7,13.239745815313666
TFT/MLP,50,8,7,9.096420267933299
XGBoost,25,4,7,2.178697772360094
LightGBM,25,4,7,9.935252346695446
SVR,25,4,7,9.709002201882305
ARIMA,25,4,7,7.208477319631741
STL+LGBM,25,4,7,9.935252346695446
Prophet,25,4,7,14.109656310841482
TFT/MLP,25,4,7,9.4287043075571
XGBoost,100,15,8,17.540346140696492
LightGBM,100,15,8,19.036321784169985
SVR,100,15,8,15.108643928381074
ARIMA,100,15,8,11.848488215360222
STL+LGBM,100,15,8,13.89850584628416
Prophet,100,15,8,58.138450159359856
TFT/MLP,100,15,8,7.970887128554213
XGBoost,75,11,8,16.101662028395417
LightGBM,75,11,8,42.73727887265124
SVR,75,11,8,22.482529871135075
ARIMA,75,11,8,8.161434987834754
STL+LGBM,75,11,8,9.914850044421327
Prophet,75,11,8,7.3528793343327585
TFT/MLP,75,11,8,5.964536894263998
XGBoost,50,8,8,1.8959996813311815
LightGBM,50,8,8,31.961456761711798
SVR,50,8,8,17.367055751394037
ARIMA,50,8,8,7.948664816568892
STL+LGBM,50,8,8,12.749812225827558
Prophet,50,8,8,13.239745815313666
TFT/MLP,50,8,8,15.249057626495215
XGBoost,25,4,8,1.8549309720308504
LightGBM,25,4,8,9.935252346695446
SVR,25,4,8,9.709002201882305
ARIMA,25,4,8,7.208477319631741
STL+LGBM,25,4,8,9.935252346695446
Prophet,25,4,8,14.109656310841482
TFT/MLP,25,4,8,8.117788452255368
XGBoost,100,15,9,19.461466016419518
LightGBM,100,15,9,19.036321784169985
SVR,100,15,9,15.108643928381074
ARIMA,100,15,9,11.848488215360222
STL+LGBM,100,15,9,13.89850584628416
Prophet,100,15,9,58.138450159359856
TFT/MLP,100,15,9,12.45233443315147
XGBoost,75,11,9,17.956586639190576
LightGBM,75,11,9,42.73727887265124
SVR,75,11,9,22.482529871135075
ARIMA,75,11,9,8.161434987834754
STL+LGBM,75,11,9,9.914850044421327
Prophet,75,11,9,7.3528793343327585
TFT/MLP,75,11,9,11.489504731861526
XGBoost,50,8,9,2.3957688340384546
LightGBM,50,8,9,31.961456761711798
SVR,50,8,9,17.367055751394037
ARIMA,50,8,9,7.948664816568892
STL+LGBM,50,8,9,12.749812225827558
Prophet,50,8,9,13.239745815313666
TFT/MLP,50,8,9,2.620684445189221
XGBoost,25,4,9,1.922126360769303
LightGBM,25,4,9,9.935252346695446
SVR,25,4,9,9.709002201882305
ARIMA,25,4,9,7.208477319631741
STL+LGBM,25,4,9,9.935252346695446
Prophet,25,4,9,14.109656310841482
TFT/MLP,25,4,9,6.899878030548144
