"STATISTIC","Statistic Label","TLIST(A1)","Year","C014259V05033","NACE Rev. 2 Activity","C04253V05027","Hazardousness","C04251V05025","Waste Category","UNIT","VALUE"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","-","Total waste","Tonnes","8706"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","100","Primary waste (TOTAL minus SEC)[PRIM]","Tonnes",""
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","110","Secondary waste (W033+W103+W128_13)[SEC]","Tonnes",""
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","120","Chemical and medical wastes (subtotal)[W01-05]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","130","Spent solvents[W011]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","140","Acid, alkaline or saline wastes[W012]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","150","Used oils[W013]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","160","Chemical wastes[W02A]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","170","Industrial effluent sludges[W032]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","180","Sludges and liquid wastes from waste treatment[W033]","Tonnes",""
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","190","Health care and biological wastes[W05]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","200","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","Tonnes","8706"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","210","Metal wastes, ferrous[W061]","Tonnes",""
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","220","Metal wastes, non-ferrous[W062]","Tonnes",""
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","230","Metal wastes, mixed ferrous and non-ferrous[W063]","Tonnes",""
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","240","Glass wastes[W071]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","250","Paper and cardboard wastes[W072]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","260","Rubber wastes[W073]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","270","Plastic wastes[W074]","Tonnes","8706"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","280","Wood wastes[W075]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","290","Textile wastes[W076]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","300","Equipment (subtotal, W077+W08A+W081+W0841)[W077_08]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","310","Waste containing PCB[W077]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","320","Discarded equipment (except discarded vehicles and batteries and accumulators waste) (W08 except W081, W0841)[W08A]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","330","Discarded vehicles[W081]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","340","Batteries and accumulators wastes[W0841]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","350","Animal and vegetal wastes (subtotal, W091+W092+W093)[W09]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","360","Animal and mixed food waste[W091]","Tonnes",""
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","370","Vegetal wastes[W092]","Tonnes",""
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","380","Animal faeces, urine and manure[W093]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","390","Mixed ordinary wastes (subtotal, W101+W102+W103)[W10]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","400","Household and similar wastes[W101]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","410","Mixed and undifferentiated materials[W102]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","420","Sorting residues[W103]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","430","Common sludges[W11]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","440","Mineral and solidified wastes (subtotal)[W12-13]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","450","Mineral waste from construction and demolition[W121]","Tonnes",""
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","460","Other mineral wastes (W122+W123+W125)[W12B]","Tonnes",""
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","470","Combustion wastes[W124]","Tonnes","0"
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","480","Soils[W126]","Tonnes",""
"GWA01","Waste generated","2004","2004","A","Agriculture, forestry and fishing (A)","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","490","Dredging spoils[W127]","Tonnes","0"
